Country;Product;Import Export;Shipping Method;Port;Category;Quantity;Value;Date;Customs Code;Weight
Colombia;describe;Export;Air;Robertbury;Machinery;1979;9506.57;07/12/2023;620537;4248.65
Chile;president;Export;Air;Shahport;Clothing;5763;7100.91;04/04/2023;927600;4340.81
Christmas Island;agency;Export;Air;Adamfort;Furniture;2592;7226.42;09/05/2022;996084;4886.14
Finland;policy;Export;Air;Juliebury;Electronics;2622;2817.29;03/04/2023;555981;4406.74
New Zealand;positive;Export;Sea;East Randall;Machinery;6975;657.8;23/07/2021;741778;1497.16
Falkland Islands (Malvinas);back;Export;Land;Port Crystalview;Furniture;2746;8755.76;29/03/2022;816682;1692.01
Bangladesh;population;Export;Air;Wrightburgh;Electronics;3582;9993.02;08/04/2020;950200;842.84
Burundi;last;Export;Air;Ruizmouth;Furniture;5432;3027.55;13/12/2021;962651;1158.91
Burundi;safe;Export;Air;Garciaville;Electronics;9558;1154.23;16/01/2022;412683;3676.36
Malawi;understand;Export;Air;South Kennethmouth;Clothing;6484;9490.3;21/05/2020;778573;277.99
Greece;nature;Export;Sea;Jacksonberg;Electronics;2226;3540.04;27/10/2022;158602;517.44
Grenada;than;Export;Sea;North Alexanderberg;Electronics;364;4880.31;05/03/2022;130182;570.14
Bahamas;its;Export;Sea;Yatesmouth;Clothing;1362;1111.95;28/04/2024;101342;4589.82
Poland;prove;Export;Sea;Brittneyport;Electronics;412;6659.89;02/06/2020;981147;3524.76
Cambodia;similar;Export;Sea;Jessestad;Toys;8454;3178.89;03/04/2023;302810;815.4
Guinea-Bissau;positive;Export;Air;Sheriberg;Electronics;7972;1714.77;01/12/2023;545970;2484.12
Cameroon;again;Export;Land;Osborneshire;Machinery;7311;8849.61;18/02/2022;999705;3150.2
Paraguay;assume;Export;Sea;Laceytown;Electronics;261;1599.97;20/06/2023;542136;3116.02
Niger;government;Export;Sea;Sandraton;Machinery;7839;5508.55;09/01/2023;183594;3770.76
Malaysia;assume;Export;Air;North Patriciachester;Electronics;2228;6024.89;22/12/2020;574485;4793.04
Canada;message;Export;Air;Jenniferburgh;Furniture;6626;1912.02;29/11/2019;634549;3847.74
Mauritius;two;Export;Land;West Christopherport;Toys;2096;9767.47;13/01/2022;817979;90.1
Bulgaria;particular;Export;Land;Nicolebury;Clothing;4708;7744.26;05/04/2022;313255;857.34
Aruba;finish;Export;Sea;Danielburgh;Clothing;2916;8007.54;21/04/2020;577707;4237.36
Denmark;collection;Export;Sea;Port Jenny;Electronics;7458;6007.78;07/03/2021;451100;1657.06
Estonia;arm;Export;Sea;West Debrachester;Machinery;4577;7019.81;13/10/2022;110947;2663.98
Tonga;quickly;Export;Sea;Millerville;Toys;1362;8416.06;11/11/2020;671946;1397.66
Burkina Faso;because;Export;Air;Nelsonton;Machinery;1465;1803.57;11/06/2022;786689;2088.38
Guinea;leader;Export;Air;South Chris;Furniture;1937;5936.78;12/07/2020;737656;1498.89
Tonga;actually;Export;Land;Ronniefort;Machinery;766;9262.55;19/04/2021;440654;1921.97
Afghanistan;left;Export;Land;Woodsshire;Furniture;6615;4793.51;04/11/2020;527249;1229.85
Angola;once;Export;Sea;West Melissa;Toys;1706;5887.21;25/04/2023;539561;19.05
Czech Republic;major;Export;Air;Port Joseph;Electronics;1987;9214.34;08/12/2021;646389;3369.71
Seychelles;record;Export;Land;South Alexanderland;Toys;5073;1453.02;23/07/2021;603851;4873.79
Uganda;social;Export;Land;Chenberg;Toys;5462;5750.63;03/07/2020;888781;1102.07
Mongolia;race;Export;Sea;Mayomouth;Furniture;5291;6593.86;09/12/2023;898837;583.29
Niger;take;Export;Sea;West Michael;Machinery;6057;4470.87;29/04/2022;567084;3923.26
Suriname;such;Export;Air;South Kevin;Furniture;9371;9978.49;18/07/2022;117107;924.52
Bulgaria;much;Export;Land;North Susanmouth;Machinery;7831;6423.84;12/12/2019;776079;4312.23
Tanzania;bad;Export;Land;West Christyhaven;Clothing;8446;5222.94;11/11/2021;253095;4269.07
South Georgia and the South Sandwich Islands;today;Export;Air;North Christopher;Furniture;3044;5792.56;24/04/2023;405815;4946.91
North Macedonia;improve;Export;Air;Crawfordland;Furniture;5412;2909.93;25/11/2021;892778;14.07
Guadeloupe;to;Export;Land;New Ryanton;Machinery;5896;8902;04/12/2023;752866;2774.44
Lao People's Democratic Republic;close;Export;Sea;Port Fernandoberg;Furniture;4817;6084.26;02/12/2020;673206;3812.99
Honduras;article;Export;Air;Hansonhaven;Furniture;6621;7823.19;12/11/2019;258483;4331.02
United States Minor Outlying Islands;maintain;Export;Land;New Anneshire;Furniture;1605;5063.97;06/03/2024;271613;733.58
Cayman Islands;group;Export;Land;East Christopher;Toys;9097;2180.89;30/12/2019;801926;405.56
